Site	Loc1	Loc2	P.Value	SE	switches
GreenLake-26	Sfo8-Low	Bwf-1	0.708270	0.010771	11829
GreenLake-26	Sfo8-Upp	Bwf-1	0.243380	0.018643	8354
GreenLake-26	Sfo8-Low	Bwf-2	0.994600	0.001306	9213
GreenLake-26	Sfo8-Upp	Bwf-2	0.070130	0.012030	5485
GreenLake-26	Bwf-1	Bwf-2	0.639390	0.011371	12899
GreenLake-26	Sfo8-Low	C2-157	0.502890	0.024101	5266
GreenLake-26	Sfo8-Upp	C2-157	0.832250	0.024055	2198
GreenLake-26	Bwf-1	C2-157	0.831570	0.013010	7160
GreenLake-26	Bwf-2	C2-157	0.376980	0.024016	4851
GreenLake-26	Sfo8-Low	Cocl23	0.820410	0.019441	5084
GreenLake-26	Sfo8-Upp	Cocl23	0.130340	0.022332	2515
GreenLake-26	Bwf-1	Cocl23	0.650660	0.016098	7974
GreenLake-26	Bwf-2	Cocl23	0.530320	0.022486	5350
GreenLake-26	C2-157	Cocl23	0.791640	0.026100	2269
GreenLake-26	Sfo8-Low	Cisco-59	0.021750	0.007031	3297
GreenLake-26	Sfo8-Upp	Cisco-59	1.000000	0.000000	1180
GreenLake-26	Bwf-1	Cisco-59	0.534760	0.028406	5011
GreenLake-26	Bwf-2	Cisco-59	0.486510	0.032505	3156
GreenLake-26	C2-157	Cisco-59	1.000000	0.000000	1122
GreenLake-26	Cocl23	Cisco-59	0.661540	0.038810	1239
GreenLake-26	Sfo8-Low	Cisco-90	0.534910	0.009522	19304
GreenLake-26	Sfo8-Upp	Cisco-90	0.553160	0.010888	15455
GreenLake-26	Bwf-1	Cisco-90	0.380460	0.007729	29019
GreenLake-26	Bwf-2	Cisco-90	0.645400	0.008385	20692
GreenLake-26	C2-157	Cisco-90	0.540470	0.013777	13529
GreenLake-26	Cocl23	Cisco-90	0.284140	0.013357	14851
GreenLake-26	Cisco-59	Cisco-90	0.936060	0.006348	10605
GreenLake-26	Sfo8-Low	Cisco-12	No	contingency	table
GreenLake-26	Sfo8-Upp	Cisco-12	No	contingency	table
GreenLake-26	Bwf-1	Cisco-12	No	contingency	table
GreenLake-26	Bwf-2	Cisco-12	No	contingency	table
GreenLake-26	C2-157	Cisco-12	No	contingency	table
GreenLake-26	Cocl23	Cisco-12	No	contingency	table
GreenLake-26	Cisco-59	Cisco-12	No	contingency	table
GreenLake-26	Cisco-90	Cisco-12	No	contingency	table
GreenLake-26	Sfo8-Low	Cisco-18	1.000000	0.000000	2525
